,img_n,AI Program,Human,Undecided
0,1,7.0,5.0,0.0
1,2,2.0,7.0,1.0
2,3,7.0,5.0,1.0
3,4,8.0,6.0,1.0
4,5,1.0,10.0,2.0
5,6,6.0,7.0,0.0
6,7,5.0,5.0,2.0
7,8,7.0,5.0,2.0
8,9,7.0,7.0,1.0
9,10,2.0,7.0,2.0
10,11,4.0,6.0,3.0
11,12,9.0,4.0,0.0
12,13,3.0,5.0,1.0
13,14,3.0,9.0,0.0
14,15,7.0,6.0,0.0
15,16,4.0,5.0,0.0
16,17,1.0,5.0,0.0
17,18,4.0,6.0,0.0
18,19,8.0,4.0,0.0
19,20,2.0,7.0,1.0
20,21,5.0,3.0,2.0
21,22,5.0,4.0,2.0
22,23,5.0,5.0,0.0
23,24,5.0,3.0,1.0
24,25,4.0,3.0,0.0
25,26,3.0,7.0,0.0
26,27,2.0,7.0,0.0
27,28,5.0,6.0,1.0
28,29,4.0,10.0,0.0
29,30,1.0,6.0,1.0
30,31,6.0,4.0,0.0
31,32,6.0,6.0,0.0
32,33,3.0,3.0,0.0
33,34,5.0,1.0,1.0
34,35,4.0,9.0,0.0
35,36,1.0,4.0,1.0
36,37,6.0,2.0,1.0
37,38,4.0,5.0,1.0
38,39,8.0,4.0,1.0
39,40,5.0,3.0,1.0
40,41,4.0,7.0,1.0
41,42,6.0,7.0,1.0
42,43,5.0,5.0,0.0
43,44,6.0,2.0,1.0
44,45,4.0,1.0,4.0
45,46,4.0,6.0,1.0
46,47,4.0,5.0,1.0
47,48,3.0,6.0,1.0
48,49,6.0,4.0,1.0
49,50,0.0,7.0,0.0
50,51,8.0,0.0,2.0
51,52,3.0,3.0,0.0
52,53,5.0,1.0,0.0
53,54,3.0,7.0,1.0
54,55,4.0,2.0,3.0
55,56,4.0,3.0,1.0
56,57,5.0,4.0,0.0
57,58,3.0,5.0,0.0
